Note, Blocked=TRUE IPs will stop having their metrics updated as they have been blocked.						
						
TotalIps: 3138, TotalTxs: 4097594, AvgFees: 251711						
						
IP	TxCount	DupCount	AvgFee	MinFee	MaxFee	Blocked
195.181.173.155	160	201	23400	15917	275936	TRUE
93.115.25.194	159	850	64155	5000	5005000	FALSE
195.181.173.209	159	406	25848	15922	288098	TRUE
195.181.173.210	159	167	25688	15904	634252	TRUE
67.209.55.4	159	1443	57115	5020	3505000	TRUE
23.88.117.238	159	1707	16900	16900	16900	TRUE
51.89.9.86	159	321	43292	6969	1005156	TRUE
195.181.173.246	158	409	33158	15897	403281	TRUE
51.75.164.240	158	246	39473	6969	74904	TRUE
185.229.191.112	157	105	23831	15915	174077	TRUE
185.229.191.73	157	109	23174	15946	232270	TRUE
195.181.173.132	157	177	25308	15903	307096	TRUE
208.91.107.67	155	570	513888	5000	4005000	FALSE
198.20.161.6	155	735	42652	5125	435824	TRUE
70.34.253.231	155	255	14998	6969	16416	TRUE
185.102.218.144	155	228	29357	15899	484205	TRUE
195.181.173.158	154	411	27574	15903	325504	TRUE
195.181.173.153	154	188	22074	15932	91658	TRUE
141.98.219.104	154	89	10328	5000	230002	TRUE
169.150.223.22	153	147	17424	15906	126156	TRUE
195.181.173.138	153	143	29826	15918	509873	TRUE
185.229.191.108	153	108	21142	15897	109714	TRUE
195.181.173.245	153	431	27730	15899	330064	TRUE
195.181.173.139	153	128	21645	15907	134725	TRUE
165.140.87.21	153	568	18092	5100	162424	TRUE
3.21.171.74	152	880	11638	5000	110198	TRUE
23.109.30.12	152	302	14646	6800	1205000	TRUE
69.67.151.87	152	712	30310	12101	1355061	TRUE
154.64.230.93	152	1952	5147	5146	5232	TRUE
207.188.6.103	151	988	10933	5000	305000	TRUE
202.8.9.110	151	232	12376	5000	105000	TRUE
136.144.48.195	151	172	7002	5000	14107	TRUE
45.77.107.39	150	108	101130	5000	10005001	FALSE
18.205.41.217	150	996	125996	45000	4338388	FALSE
162.55.65.176	150	238	13931	11028	47000	TRUE
